"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2020 00:00 - 01.01.2020 00:15","46902","43188"
"01.01.2020 00:15 - 01.01.2020 00:30","46390","42765"
"01.01.2020 00:30 - 01.01.2020 00:45","45902","42487"
"01.01.2020 00:45 - 01.01.2020 01:00","45414","42460"
"01.01.2020 01:00 - 01.01.2020 01:15","44577","42121"
"01.01.2020 01:15 - 01.01.2020 01:30","44413","41580"
"01.01.2020 01:30 - 01.01.2020 01:45","43898","41393"
"01.01.2020 01:45 - 01.01.2020 02:00","43557","41177"
"01.01.2020 02:00 - 01.01.2020 02:15","43338","41025"
"01.01.2020 02:15 - 01.01.2020 02:30","43203","40813"
"01.01.2020 02:30 - 01.01.2020 02:45","43110","40685"
"01.01.2020 02:45 - 01.01.2020 03:00","43048","40563"
"01.01.2020 03:00 - 01.01.2020 03:15","43067","39710"
"01.01.2020 03:15 - 01.01.2020 03:30","43151","39272"
"01.01.2020 03:30 - 01.01.2020 03:45","43072","39123"
"01.01.2020 03:45 - 01.01.2020 04:00","43016","39015"
"01.01.2020 04:00 - 01.01.2020 04:15","43104","39464"
"01.01.2020 04:15 - 01.01.2020 04:30","43215","39169"
"01.01.2020 04:30 - 01.01.2020 04:45","43200","39153"
"01.01.2020 04:45 - 01.01.2020 05:00","43271","39136"
"01.01.2020 05:00 - 01.01.2020 05:15","43293","39825"
"01.01.2020 05:15 - 01.01.2020 05:30","43014","39504"
"01.01.2020 05:30 - 01.01.2020 05:45","42725","39503"
"01.01.2020 05:45 - 01.01.2020 06:00","42387","39217"
"01.01.2020 06:00 - 01.01.2020 06:15","41443","38006"
"01.01.2020 06:15 - 01.01.2020 06:30","41203","37795"
"01.01.2020 06:30 - 01.01.2020 06:45","41161","37766"
"01.01.2020 06:45 - 01.01.2020 07:00","41259","37881"
"01.01.2020 07:00 - 01.01.2020 07:15","41520","38157"
"01.01.2020 07:15 - 01.01.2020 07:30","41944","38336"
"01.01.2020 07:30 - 01.01.2020 07:45","42870","38170"
"01.01.2020 07:45 - 01.01.2020 08:00","43725","38201"
"01.01.2020 08:00 - 01.01.2020 08:15","44464","38524"
"01.01.2020 08:15 - 01.01.2020 08:30","45136","38773"
"01.01.2020 08:30 - 01.01.2020 08:45","45377","39064"
"01.01.2020 08:45 - 01.01.2020 09:00","45742","39635"
"01.01.2020 09:00 - 01.01.2020 09:15","47057","40408"
"01.01.2020 09:15 - 01.01.2020 09:30","47985","41061"
"01.01.2020 09:30 - 01.01.2020 09:45","48446","41669"
"01.01.2020 09:45 - 01.01.2020 10:00","48564","42541"
"01.01.2020 10:00 - 01.01.2020 10:15","49314","42790"
"01.01.2020 10:15 - 01.01.2020 10:30","49811","43192"
"01.01.2020 10:30 - 01.01.2020 10:45","50109","43611"
"01.01.2020 10:45 - 01.01.2020 11:00","50552","44089"
"01.01.2020 11:00 - 01.01.2020 11:15","51122","44880"
"01.01.2020 11:15 - 01.01.2020 11:30","51571","45474"
"01.01.2020 11:30 - 01.01.2020 11:45","52114","45915"
"01.01.2020 11:45 - 01.01.2020 12:00","52324","46076"
"01.01.2020 12:00 - 01.01.2020 12:15","52225","46770"
"01.01.2020 12:15 - 01.01.2020 12:30","51901","46907"
"01.01.2020 12:30 - 01.01.2020 12:45","51636","46813"
"01.01.2020 12:45 - 01.01.2020 13:00","51461","46940"
"01.01.2020 13:00 - 01.01.2020 13:15","51048","46826"
"01.01.2020 13:15 - 01.01.2020 13:30","50536","46675"
"01.01.2020 13:30 - 01.01.2020 13:45","50252","46773"
"01.01.2020 13:45 - 01.01.2020 14:00","49815","46592"
"01.01.2020 14:00 - 01.01.2020 14:15","49666","45940"
"01.01.2020 14:15 - 01.01.2020 14:30","49493","45709"
"01.01.2020 14:30 - 01.01.2020 14:45","49208","45150"
"01.01.2020 14:45 - 01.01.2020 15:00","49185","45223"
"01.01.2020 15:00 - 01.01.2020 15:15","49554","45609"
"01.01.2020 15:15 - 01.01.2020 15:30","49247","45377"
"01.01.2020 15:30 - 01.01.2020 15:45","49448","45354"
"01.01.2020 15:45 - 01.01.2020 16:00","49415","45360"
"01.01.2020 16:00 - 01.01.2020 16:15","49843","46089"
"01.01.2020 16:15 - 01.01.2020 16:30","50010","46901"
"01.01.2020 16:30 - 01.01.2020 16:45","50801","48161"
"01.01.2020 16:45 - 01.01.2020 17:00","51610","49630"
"01.01.2020 17:00 - 01.01.2020 17:15","52902","51020"
