cet_timestamp,Day-ahead Price [EUR/MWh],Solar  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],Actual Total Load [MW] - BZN|DE-LU,WeekDays
2020-09-16 00:00:00,50.12,0.0,276.5,2158.25,45126.0,2
2020-09-16 01:00:00,46.3,0.0,398.25,2100.5,44064.5,2
2020-09-16 02:00:00,45.1,0.0,592.25,1938.5,43949.0,2
2020-09-16 03:00:00,43.12,0.0,1093.25,1743.75,44257.0,2
2020-09-16 04:00:00,44.0,0.0,1364.5,1559.5,45293.0,2
2020-09-16 05:00:00,46.35,0.0,1465.75,1672.0,48620.0,2
2020-09-16 06:00:00,59.98,17.0,1401.75,2106.25,56093.75,2
2020-09-16 07:00:00,76.39,1335.75,1438.0,2657.0,60588.25,2
2020-09-16 08:00:00,86.53,6094.5,1567.5,2623.25,63885.0,2
2020-09-16 09:00:00,75.0,11981.5,1629.5,1928.5,64972.5,2
2020-09-16 10:00:00,63.32,17348.25,1696.5,1498.5,66984.0,2
2020-09-16 11:00:00,56.96,20951.25,2287.0,2020.5,68682.0,2
2020-09-16 12:00:00,48.35,22790.5,3258.0,2833.75,68451.75,2
2020-09-16 13:00:00,43.29,22525.5,4322.5,4276.5,67611.0,2
2020-09-16 14:00:00,39.98,20588.25,4338.25,6169.75,66111.5,2
2020-09-16 15:00:00,43.16,17127.5,4045.75,8212.5,64640.0,2
2020-09-16 16:00:00,45.07,12326.5,3937.25,9851.75,62855.5,2
2020-09-16 17:00:00,54.8,6848.5,4834.5,10968.0,62255.75,2
2020-09-16 18:00:00,61.48,2170.75,5919.25,11611.75,62238.25,2
2020-09-16 19:00:00,66.45,131.75,5709.0,12815.5,63242.0,2
2020-09-16 20:00:00,57.44,0.0,5431.0,13809.75,61058.75,2
2020-09-16 21:00:00,48.39,0.0,5064.25,14636.75,56661.0,2
2020-09-16 22:00:00,43.37,0.0,5020.5,14958.5,52270.5,2
2020-09-16 23:00:00,36.96,0.0,5404.75,14365.25,49118.25,2
2020-09-17 00:00:00,34.11,0.0,5814.75,13988.75,46910.75,3
2020-09-17 01:00:00,34.85,0.0,5870.75,13250.5,46064.75,3
2020-09-17 02:00:00,34.73,0.0,5460.5,12632.5,44570.0,3
2020-09-17 03:00:00,34.32,0.0,4848.75,12519.0,44314.5,3
2020-09-17 04:00:00,34.58,0.0,4385.75,12269.0,45016.25,3
2020-09-17 05:00:00,36.56,0.0,3875.0,12215.25,48627.25,3
2020-09-17 06:00:00,48.0,17.75,3406.75,12643.5,56699.75,3
2020-09-17 07:00:00,53.64,1049.5,3012.0,12411.25,61094.75,3
2020-09-17 08:00:00,59.69,5190.0,2393.25,10453.5,64056.75,3
2020-09-17 09:00:00,53.91,11011.75,2021.25,8784.25,64998.5,3
2020-09-17 10:00:00,45.8,16657.75,1777.0,8285.0,65784.0,3
2020-09-17 11:00:00,42.0,20707.75,1510.5,8023.25,66825.25,3
2020-09-17 12:00:00,39.89,23218.0,1275.5,6845.25,66013.75,3
2020-09-17 13:00:00,39.07,24077.0,1142.0,6395.25,64721.75,3
2020-09-17 14:00:00,37.1,23208.5,859.75,6112.5,63971.25,3
2020-09-17 15:00:00,36.66,20486.5,900.5,6203.75,62786.5,3
2020-09-17 16:00:00,47.74,15491.5,1029.0,6967.5,60606.0,3
2020-09-17 17:00:00,56.43,8587.25,1312.75,7740.25,61217.75,3
2020-09-17 18:00:00,66.5,2567.5,1415.5,8101.25,61486.0,3
2020-09-17 19:00:00,79.84,139.75,1585.0,9565.75,61879.5,3
2020-09-17 20:00:00,65.44,0.0,1514.75,13249.0,60894.0,3
2020-09-17 21:00:00,53.19,0.0,1475.25,15672.25,56587.0,3
2020-09-17 22:00:00,42.68,0.0,1258.5,15082.0,51920.75,3
2020-09-17 23:00:00,36.92,0.0,1122.25,14352.75,47876.5,3
2020-09-18 00:00:00,37.97,0.0,946.5,13726.5,45793.25,4
2020-09-18 01:00:00,35.06,0.0,867.75,12951.5,44442.5,4
2020-09-18 02:00:00,34.68,0.0,753.0,12169.5,43453.75,4
2020-09-18 03:00:00,34.51,0.0,716.0,11409.25,43280.75,4
2020-09-18 04:00:00,34.2,0.0,704.0,10919.5,44324.75,4
2020-09-18 05:00:00,36.9,0.0,566.0,10798.0,48250.5,4
2020-09-18 06:00:00,45.02,14.25,424.0,10667.25,55883.25,4
2020-09-18 07:00:00,53.02,1337.25,415.25,10280.25,60365.25,4
2020-09-18 08:00:00,58.11,6645.5,461.25,8387.75,63205.0,4
2020-09-18 09:00:00,52.79,13882.25,468.5,5498.25,63687.5,4
2020-09-18 10:00:00,44.67,20464.25,480.5,4116.75,64712.25,4
2020-09-18 11:00:00,38.35,25370.0,613.0,4678.25,65130.75,4
2020-09-18 12:00:00,34.89,28303.5,671.5,5850.5,65458.75,4
2020-09-18 13:00:00,34.51,28923.5,639.0,6277.0,63924.0,4
2020-09-18 14:00:00,34.38,27260.0,832.0,6501.5,61879.5,4
2020-09-18 15:00:00,35.47,23305.75,1202.0,6513.25,60315.25,4
2020-09-18 16:00:00,36.7,17199.5,1534.5,6699.75,58670.5,4
2020-09-18 17:00:00,46.62,9565.0,1804.25,6842.75,58454.0,4
2020-09-18 18:00:00,53.08,2758.5,2006.75,6933.0,58651.25,4
2020-09-18 19:00:00,56.22,126.5,2169.25,9378.75,59078.75,4
2020-09-18 20:00:00,52.05,0.0,2425.0,13297.75,58042.5,4
2020-09-18 21:00:00,46.4,0.0,2307.0,15037.0,54192.5,4
2020-09-18 22:00:00,39.41,0.0,2060.5,14702.75,50224.5,4
2020-09-18 23:00:00,36.04,0.0,2374.25,13891.0,46151.5,4
2020-09-19 00:00:00,33.25,0.0,2642.5,13040.0,44223.25,5
2020-09-19 01:00:00,31.08,0.0,2680.25,12253.25,41900.75,5
2020-09-19 02:00:00,32.55,0.0,2355.0,11565.0,40481.75,5
2020-09-19 03:00:00,31.89,0.0,1768.5,11077.75,39838.0,5
2020-09-19 04:00:00,31.26,0.0,1705.5,10671.0,39652.25,5
2020-09-19 05:00:00,30.75,0.0,1810.0,10172.5,40687.25,5
2020-09-19 06:00:00,34.31,10.0,1857.5,10070.5,42908.75,5
2020-09-19 07:00:00,37.02,1214.25,1972.25,9839.25,45317.5,5
2020-09-19 08:00:00,39.76,6564.25,1950.0,8932.75,49001.5,5
2020-09-19 09:00:00,36.78,13809.25,2055.5,5844.75,52479.0,5
2020-09-19 10:00:00,33.58,20209.5,2077.0,3365.0,53899.0,5
2020-09-19 11:00:00,32.56,24695.25,1971.0,2896.25,54379.0,5
2020-09-19 12:00:00,31.67,27027.5,2061.0,3409.0,53833.25,5
2020-09-19 13:00:00,30.73,27240.0,2089.75,3938.5,52510.0,5
2020-09-19 14:00:00,30.72,25427.25,2236.0,4058.0,51075.75,5
2020-09-19 15:00:00,32.41,21355.5,2499.5,4417.75,49643.25,5
2020-09-19 16:00:00,34.99,15427.0,2573.25,4840.0,49345.0,5
2020-09-19 17:00:00,40.7,8376.0,2487.5,5291.25,50111.0,5
2020-09-19 18:00:00,47.95,2389.25,2509.25,6072.25,50619.0,5
2020-09-19 19:00:00,51.02,95.0,2617.0,8996.25,51198.75,5
2020-09-19 20:00:00,51.05,0.0,2791.25,12280.0,50571.25,5
2020-09-19 21:00:00,44.41,0.0,2550.25,13973.25,48112.5,5
2020-09-19 22:00:00,39.74,0.0,2153.5,13501.0,45529.0,5
2020-09-19 23:00:00,36.71,0.0,1792.25,12378.5,42325.0,5
2020-09-20 00:00:00,37.89,0.0,1440.75,10975.0,39727.25,6
2020-09-20 01:00:00,36.77,0.0,1083.0,9663.5,37583.75,6
2020-09-20 02:00:00,35.36,0.0,747.75,8328.5,36763.25,6
2020-09-20 03:00:00,34.4,0.0,683.75,7294.5,36224.0,6
2020-09-20 04:00:00,34.21,0.0,680.0,6598.75,36549.5,6
2020-09-20 05:00:00,34.2,0.0,650.25,6035.0,37258.75,6
2020-09-20 06:00:00,34.8,8.0,804.0,5869.75,37894.75,6
2020-09-20 07:00:00,34.5,1203.75,954.0,5976.0,38822.75,6
